movie_name,full_date,revenue_vnd,tickets_sold,showtimes
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,2025-11-23,4420000,400,4
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,2025-11-24,1566000,120,1
Thám Tử Kiên: Kỳ Án Không Đầu,2025-11-23,0,5560,4
Thần Dược,2025-11-22,2060000,290,6
Thần Dược,2025-11-23,5840000,640,28
Thần Dược,2025-11-24,650000,160,7
Truy Tìm Long Diên Hương,2025-11-22,13822186184,147014,4315
Truy Tìm Long Diên Hương,2025-11-23,20600954835,168895,13129
Truy Tìm Long Diên Hương,2025-11-24,4817321586,67508,4056
Trái Tim Què Quặt,2025-11-22,1600000,160,4
Trái Tim Què Quặt,2025-11-23,1180000,120,8
Trái Tim Què Quặt,2025-11-24,560000,60,1
Trốn Chạy Tử Thần,2025-11-22,59091770,4280,117
Trốn Chạy Tử Thần,2025-11-23,74606952,5540,428
Trốn Chạy Tử Thần,2025-11-24,19955932,2380,92
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,2025-11-22,16053000,2010,42
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,2025-11-23,23979000,3330,156
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,2025-11-24,6445500,1060,34
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,2025-11-22,6295000,1050,4
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,2025-11-23,17000000,2960,16
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,2025-11-24,2220000,430,3
Tử Chiến Trên Không,2025-11-24,0,1390,2
Wicked 2: For Good,2025-11-22,1218629258,8748,737
Wicked 2: For Good,2025-11-23,1978288226,11405,3024
Wicked 2: For Good,2025-11-24,265096551,2736,673
